표준코드,ticker,한글 종목명,name,영문 종목명,start_date,시장구분,증권구분,소속부,주식종류,액면가,상장주식수,산업분류
KR7288330004,288330,브릿지바이오테라퓨틱스,브릿지바이오테라퓨틱스,"BRIDGE BIOTHERAPEUTICS, INC.",2019/12/20,KOSDAQ,주권,기술성장기업부,보통주,500,"19,896,425",제약
KR7365900000,365900,브이씨,브이씨,VC Inc.,2022/02/24,KOSDAQ,주권,벤처기업부,보통주,500,"7,310,300",기타제조
KR7251630000,251630,브이원텍,브이원텍,"V-ONE TECH CO., LTD.",2017/07/13,KOSDAQ,주권,벤처기업부,보통주,500,"15,162,580",기계·장비
KR7018290007,018290,브이티지엠피,브이티지엠피,"VT GMP Co.,Ltd.",1994/09/07,KOSDAQ,주권,우량기업부,보통주,500,"34,483,893",화학
KR7044480002,044480,블레이드엔터테인먼트,블레이드 Ent,BLADE Entertainment,2001/01/11,KOSDAQ,주권,중견기업부,보통주,500,"32,343,981",화학
KR7033560004,033560,블루콤,블루콤,"BLUECOM CO.,LTD.",2011/01/26,KOSDAQ,주권,벤처기업부,보통주,500,"17,100,000",IT H/W
KR7191600006,191600,블루탑,블루탑,BLUETOP,2016/08/05,KONEX,주권,일반기업부,보통주,500,"2,850,000",#N/A
KR7369370002,369370,블리츠웨이,블리츠웨이,Blitzway,2020/12/23,KOSDAQ,주권,벤처기업부,보통주,100,"42,072,227",기타제조
KR7126340009,126340,비나텍,비나텍,"VINA TECH CO.,LTD.",2020/09/23,KOSDAQ,주권,벤처기업부,보통주,500,"5,468,262",IT H/W
KR7121800007,121800,비덴트,비덴트,"Vidente Co., Ltd.",2011/12/01,KOSDAQ,주권,벤처기업부,보통주,500,"58,292,938",IT H/W
KR7148140007,148140,비디아이,비디아이,"BDI Co., LTD.",2017/11/09,KOSDAQ,주권,관리종목(소속부없음),보통주,500,"43,208,667",기계·장비
KR7082800004,082800,비보존제약,비보존 제약,VIVOZON PHARMACEUTICAL,2005/11/18,KOSDAQ,주권,투자주의환기종목(소속부없음),보통주,500,"234,043,081",IT H/W
KR7318410008,318410,비비씨,비비씨,"Best Bristle Company CO., Ltd.",2020/09/21,KOSDAQ,주권,중견기업부,보통주,500,"5,555,243",기타제조
KR7002070001,002070,비비안보통주,비비안,VIVIEN CORPORATION,1976/07/13,KOSPI,주권,,보통주,500,"29,793,990",섬유의복
KR7100220003,100220,비상교육 보통주,비상교육,VISANG EDUCATION INC,2008/06/30,KOSPI,주권,,보통주,500,"12,996,741",서비스업
KR7419540000,419540,비스토스,비스토스,"Bistos Co., Ltd.",2022/10/18,KOSDAQ,주권,벤처기업부,보통주,100,"21,175,308",의료·정밀기기
KR7146320007,146320,비씨엔씨,비씨엔씨,"BCnC Co., Ltd.",2022/03/03,KOSDAQ,주권,벤처기업부,보통주,500,"12,367,923",IT H/W
KR7200780005,200780,비씨월드제약,비씨월드제약,"BCWORLDPHARM Co., Ltd.",2014/12/15,KOSDAQ,주권,벤처기업부,보통주,200,"8,892,384",제약
KR7141000000,141000,비아트론,비아트론,"Viatron Technologies, Inc.",2012/05/04,KOSDAQ,주권,우량기업부,보통주,500,"12,114,710",IT H/W
KR7090460007,090460,비에이치,비에이치,"BH Co., Ltd.",2007/01/26,KOSDAQ GLOBAL,주권,우량기업부,보통주,500,"34,464,379",IT H/W
KR7083650002,083650,비에이치아이,비에이치아이,"BHI Co., LTD.",2005/12/02,KOSDAQ,주권,중견기업부,보통주,500,"26,000,000",기계·장비
KR7215050006,215050,비엔디생활건강,비엔디생활건강,"B&D Life Health CO.,LTD.",2015/03/30,KONEX,주권,일반기업부,보통주,100,"2,121,666",#N/A
KR7032790008,032790,비엔지티,비엔지티,BNGT,1997/06/26,KOSDAQ,주권,벤처기업부,보통주,500,"31,201,010",IT H/W
KR7445360001,445360,비엔케이제1호기업인수목적,비엔케이제1호스팩,BNK 1 SPECIAL PURPOSE ACQUISITION COMPANY,2022/12/22,KOSDAQ,주권,SPAC(소속부없음),보통주,100,"4,310,000",금융
KR7142760008,142760,비엘,비엘,BL Corporation,2016/07/07,KOSDAQ,주권,기술성장기업부,보통주,500,"31,448,597",기타서비스
KR7065170003,065170,비엘팜텍,비엘팜텍,BL Pharmtech,2002/11/19,KOSDAQ,주권,중견기업부,보통주,500,"88,970,559",유통
KR7086220001,086220,비엘헬스케어,비엘헬스케어,BL Healthcare,2015/07/09,KONEX,주권,일반기업부,보통주,500,"10,573,865",#N/A
KR7086670007,086670,비엠티,비엠티,"BMT Co.,Ltd.",2007/11/02,KOSDAQ,주권,우량기업부,보통주,500,"9,125,174",기계·장비
KR7335890000,335890,비올,비올,"VIOL Co., Ltd.",2019/12/03,KOSDAQ,주권,벤처기업부,보통주,100,"58,133,344",의료·정밀기기
KR7138580006,138580,비즈니스온커뮤니케이션,비즈니스온,"BusinessOn Communication Co., Ltd",2017/11/30,KOSDAQ,주권,벤처기업부,보통주,500,"22,556,163",IT S/W & SVC
KR7126600006,126600,비지에프에코머티리얼즈,BGF에코머티리얼즈,BGFecomaterials,2010/11/12,KOSDAQ,주권,우량기업부,보통주,500,"29,535,894",화학
KR7082920000,082920,비츠로셀,비츠로셀,"VITZROCELL Co., Ltd.",2009/10/28,KOSDAQ,주권,우량기업부,보통주,500,"21,539,152",IT H/W
KR7054220009,054220,비츠로시스,비츠로시스,"VitzroSys., Co. LTD",2001/12/26,KOSDAQ,주권,벤처기업부,보통주,500,"25,162,883",일반전기전자
KR7042370007,042370,비츠로테크,비츠로테크,"Vitzro Tech Co., LTD.",2000/08/03,KOSDAQ,주권,우량기업부,보통주,500,"26,200,025",금융
KR7030790000,030790,비케이탑스보통주,비케이탑스,BK TOPS,2010/11/02,KOSPI,주권,,보통주,500,"21,248,145",서비스업
