표준코드,ticker,한글종목명,name,start_date,기초지수명,지수산출기관,기초자산분류
KR7136340007,136340,KB KBSTAR 중기우량회사채증권상장지수투자신탁(채권),KBSTAR 중기우량회사채,2011/04/15,KOBI 크레딧 지수(총수익),KIS 채권평가,채권
KR7281990002,281990,KB KBSTAR 중소형고배당증권상장지수투자신탁(주식),KBSTAR 중소형고배당,2017/11/02,FnGuide 중소형고배당포커스 지수,FnGuide,주식
KR7272570003,272570,KB KBSTAR 중장기국공채액티브증권상장지수투자신탁(채권),KBSTAR 중장기국공채액티브,2017/06/29,KIS 종합채권국공채4~5Y지수,KIS 채권평가,채권
KR7250730009,250730,KB KBSTAR 차이나HSCEI증권상장지수투자신탁(주식)(H),KBSTAR 차이나HSCEI(H),2016/08/10,Hang Seng China H,HangSeng,주식
KR7291680007,291680,KB KBSTAR 차이나H선물인버스증권상장지수투자신탁(주식-파생형)(H),KBSTAR 차이나H선물인버스(H),2018/03/23,Hang Seng China Enterprises Futures Index(Price Return),HangSeng,주식
KR7371150004,371150,KB KBSTAR 차이나항셍테크증권상장지수투자신탁(주식),KBSTAR 차이나항셍테크,2020/12/16,Hang Seng TECH Index,HangSeng,주식
KR7183700004,183700,KB KBSTAR 채권혼합증권상장지수투자신탁(채권혼합-파생형),KBSTAR 채권혼합,2013/10/17,주식국채혼합(채권형)지수,KRX,혼합자산
KR7278240007,278240,KB KBSTAR 코스닥150선물레버리지증권상장지수투자신탁(주식-파생형),KBSTAR 코스닥150선물레버리지,2017/08/31,F-코스닥150 지수,KRX,주식
KR7275750008,275750,KB KBSTAR 코스닥150선물인버스증권상장지수투자신탁(주식-파생형),KBSTAR 코스닥150선물인버스,2017/08/01,F-코스닥150 지수,KRX,주식
KR7270810005,270810,KB KBSTAR 코스닥150증권상장지수투자신탁(주식),KBSTAR 코스닥150,2017/06/16,코스닥 150,KRX,주식
KR7302450002,302450,KB KBSTAR 코스피증권상장지수투자신탁(주식),KBSTAR 코스피,2018/07/24,코스피,KRX,주식
KR7334700002,334700,KB KBSTAR 팔라듐선물인버스특별자산상장지수투자신탁(파생형)(H),KBSTAR 팔라듐선물인버스(H),2019/09/24,S&P GSCI Palladium Excess Return Index,S&P,원자재
KR7334690005,334690,KB KBSTAR 팔라듐선물특별자산상장지수투자신탁(파생형)(H),KBSTAR 팔라듐선물(H),2019/09/24,S&P GSCI Palladium Excess Return Index,S&P,원자재
KR7253280002,253280,KB KBSTAR 헬스케어증권상장지수투자신탁(주식),KBSTAR 헬스케어,2016/09/23,FnGuide 헬스케어 지수,FnGuide,주식
KR7253290001,253290,KB KBSTAR 헬스케어채권혼합증권상장지수투자신탁(채권혼합),KBSTAR 헬스케어채권혼합,2016/09/23,FnGuide 헬스케어 채권혼합 지수,FnGuide,혼합자산
KR7407310002,407310,NH-Amundi HANARO 200 TOP10 증권상장지수투자신탁(주식),HANARO 200 TOP10,2021/11/24,코스피 200 Top 10 지수,KRX,주식
KR7332930007,332930,NH-Amundi HANARO 200 Total Return증권상장지수투자신탁(주식),HANARO 200TR,2019/08/28,코스피 200 TR,KRX,주식
KR7304780000,304780,NH-Amundi HANARO 200선물레버리지증권상장지수투자신탁[주식-파생형],HANARO 200선물레버리지,2018/08/14,코스피 200 선물지수,KRX,주식
KR7306520008,306520,NH-Amundi HANARO 200선물인버스증권상장지수투자신탁(주식-파생형),HANARO 200선물인버스,2018/09/18,코스피 200 선물지수,KRX,주식
KR7293180006,293180,NH-Amundi HANARO 200증권상장지수투자신탁[주식],HANARO 200,2018/03/30,코스피 200,KRX,주식
KR7448490003,448490,NH-Amundi HANARO 32-10 국고채액티브증권상장지수투자신탁(채권),HANARO 32-10 국고채액티브,2022/11/22,KAP 32-10 국고채 10년 총수익지수,한국자산평가(KAP),채권
KR7395290000,395290,NH-Amundi HANARO Fn K-POP&미디어증권상장지수투자신탁(주식),HANARO Fn K-POP&미디어,2021/07/30,FnGuide K-POP & 미디어 지수,FnGuide,주식
KR7395280001,395280,NH-Amundi HANARO Fn K-게임증권상장지수투자신탁(주식),HANARO Fn K-게임,2021/07/30,FnGuide K-게임 지수,FnGuide,주식
